Title,Realistic,Investigative,Artistic,Social,Enterprising,Conventional,First Interest High-Point,Second Interest High-Point,Third Interest High-Point
Chief Executives,1,2,3,4,10,7,8,10,0
Chief Sustainability Officers,0,6,3,2,10,6,8,10,3
General and Operations Managers,1,1,0,4,10,4,8,10,7
Advertising and Promotions Managers,1,2,7,2,10,6,8,5,10
Marketing Managers,0,2,4,3,10,7,8,10,0
Sales Managers,3,2,2,4,10,6,8,10,0
Administrative Services Managers,2,2,0,3,10,7,8,10,0
Computer and Information Systems Managers,5,6,1,1,9,7,8,10,3
Financial Managers,1,1,1,4,10,7,8,10,7
Treasurers and Controllers,1,3,0,3,8,10,10,8,0
Investment Fund Managers,0,1,0,3,10,6,8,10,0
Industrial Production Managers,3,2,1,4,10,8,8,10,0
Quality Control Systems Managers,6,4,1,2,10,8,8,10,2
Geothermal Production Managers,4,4,2,1,10,8,8,10,0
Biofuels Production Managers,5,4,1,2,10,8,8,10,2
Biomass Power Plant Managers,7,3,1,2,10,8,8,10,2
Hydroelectric Production Managers,4,3,1,1,10,8,8,10,0
Purchasing Managers,3,2,1,3,10,7,8,10,0
"Transportation, Storage, and Distribution Managers",3,1,1,1,10,7,8,10,2
Supply Chain Managers,3,2,1,2,10,6,8,10,0
Compensation and Benefits Managers,0,1,1,6,10,7,8,10,7
Human Resources Managers,1,2,2,8,10,7,8,7,10
Training and Development Managers,1,2,4,8,10,5,8,7,0
"Farmers, Ranchers, and Other Agricultural Managers",9,3,1,2,10,6,8,2,10
Construction Managers,8,2,1,2,10,6,8,2,10
"Education and Childcare Administrators, Preschool and Daycare",0,1,3,8,8,5,6,8,10
"Education Administrators, Kindergarten through Secondary",1,2,3,9,9,6,8,7,10
"Education Administrators, Postsecondary",0,3,3,6,10,7,8,10,7
Architectural and Engineering Managers,6,6,1,1,10,5,8,2,3
Biofuels/Biodiesel Technology and Product Development Managers,3,8,1,2,9,4,8,3,0
Food Service Managers,6,1,1,6,10,7,8,10,2
Gambling Managers,4,2,1,3,10,7,8,10,0
Lodging Managers,3,1,1,5,10,7,8,10,7
Medical and Health Services Managers,1,4,1,7,10,7,8,10,7
Natural Sciences Managers,3,7,1,1,10,3,8,3,0
Clinical Research Coordinators,1,7,3,2,9,6,8,3,10
Water Resource Specialists,3,9,2,1,6,5,2,8,10
Postmasters and Mail Superintendents,3,1,0,6,10,8,8,10,7
"Property, Real Estate, and Community Association Managers",3,0,1,4,10,8,8,10,0
Social and Community Service Managers,0,1,3,8,9,4,8,7,0
Emergency Management Directors,4,3,2,9,8,4,6,8,0
Funeral Home Managers,1,2,2,6,10,6,8,10,7
Fitness and Wellness Coordinators,4,3,2,6,9,4,8,7,0
Spa Managers,4,0,2,6,10,7,8,10,7
Regulatory Affairs Managers,1,2,1,4,10,7,8,10,0
Compliance Managers,4,4,1,1,7,8,10,8,2
Loss Prevention Managers,4,2,0,3,10,8,8,10,0
Wind Energy Operations Managers,5,3,1,1,9,8,8,10,2
Wind Energy Development Managers,2,6,2,2,10,6,8,10,3
Brownfield Redevelopment Specialists and Site Managers,3,7,2,1,9,6,8,3,10
"Agents and Business Managers of Artists, Performers, and Athletes",1,1,3,6,10,6,8,7,0
"Buyers and Purchasing Agents, Farm Products",5,1,1,3,9,8,8,10,2
"Wholesale and Retail Buyers, Except Farm Products",4,2,1,2,10,8,8,10,0
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",4,3,0,2,9,9,10,8,0
"Claims Adjusters, Examiners, and Investigators",3,3,1,3,7,9,10,8,3
"Insurance Appraisers, Auto Damage",8,2,0,2,6,9,10,2,8
Compliance Officers,2,1,0,3,8,8,8,10,7
Environmental Compliance Inspectors,7,8,2,2,2,8,10,3,2
Equal Opportunity Representatives and Officers,0,3,2,9,8,6,6,8,10
Government Property Inspectors and Investigators,4,3,0,2,6,9,10,8,2
Coroners,7,9,1,2,4,7,2,2,10
Regulatory Affairs Specialists,1,2,0,1,8,9,10,8,0
Customs Brokers,2,0,1,3,9,8,8,10,0
Cost Estimators,3,3,0,1,8,8,10,8,0
Human Resources Specialists,0,3,3,5,8,6,8,10,7
Farm Labor Contractors,3,0,0,3,10,2,8,2,7
Labor Relations Specialists,0,3,2,6,9,6,8,10,7
Logisticians,2,2,1,4,10,8,8,10,0
Logistics Engineers,6,10,2,0,4,7,2,10,2
Logistics Analysts,3,4,1,1,6,8,10,8,3
Management Analysts,1,9,1,2,8,6,2,8,10
"Meeting, Convention, and Event Planners",1,1,2,6,10,7,8,10,7
Fundraisers,0,2,6,4,9,7,8,10,5
