Title,Achievement,Working Conditions,Recognition,Relationships,Support,Independence,First Work Value High-Point,Second Work Value High-Point,Third Work Value High-Point
Chief Executives,9,10,10,6,7,10,4,10,2
Chief Sustainability Officers,9,10,8,6,3,9,0,10,3
General and Operations Managers,7,9,8,9,6,8,6,10,3
Advertising and Promotions Managers,7,8,7,6,4,7,2,0,10
Marketing Managers,8,9,7,8,6,8,2,0,10
Sales Managers,7,8,6,4,7,8,10,2,2
Administrative Services Managers,6,6,6,9,4,8,6,10,5
Computer and Information Systems Managers,7,10,7,5,8,6,2,8,2
Financial Managers,7,9,8,6,6,8,2,10,5
Treasurers and Controllers,8,9,7,4,7,8,2,0,10
Investment Fund Managers,8,8,8,6,5,7,0,4,3
Industrial Production Managers,7,8,7,7,6,8,10,2,7
Quality Control Systems Managers,7,6,6,4,7,6,8,0,10
Geothermal Production Managers,8,9,8,6,4,8,4,0,3
Biofuels Production Managers,8,9,8,5,5,7,2,0,5
Biomass Power Plant Managers,8,9,8,5,4,7,2,0,5
Hydroelectric Production Managers,8,9,8,6,4,8,0,2,5
Purchasing Managers,5,8,6,4,6,6,2,8,10
"Transportation, Storage, and Distribution Managers",6,7,5,7,6,7,6,10,3
Supply Chain Managers,6,7,6,5,6,8,10,2,8
Compensation and Benefits Managers,7,8,7,8,8,8,6,8,10
Human Resources Managers,7,8,8,8,5,6,6,4,3
Training and Development Managers,7,8,7,8,4,7,6,2,2
"Farmers, Ranchers, and Other Agricultural Managers",6,6,6,6,3,7,10,0,3
Construction Managers,7,9,6,6,7,8,2,10,8
"Education and Childcare Administrators, Preschool and Daycare",8,6,6,9,2,8,6,0,10
"Education Administrators, Kindergarten through Secondary",8,9,8,9,5,9,6,10,3
"Education Administrators, Postsecondary",8,9,7,8,5,9,10,0,7
Architectural and Engineering Managers,8,9,7,4,6,8,0,10,3
Biofuels/Biodiesel Technology and Product Development Managers,9,9,7,3,4,8,0,2,10
Food Service Managers,6,6,6,6,6,8,10,6,8
Gambling Managers,7,7,6,8,6,8,10,6,3
Lodging Managers,7,5,6,10,4,8,6,10,2
Medical and Health Services Managers,7,9,6,8,8,8,10,2,7
Natural Sciences Managers,7,9,7,3,7,8,10,2,2
