Title,Monitoring and Controlling Resources,Interpreting the Meaning of Information for Others,Performing Administrative Activities,Resolving Conflicts and Negotiating with Others,"Inspecting Equipment, Structures, or Materials","Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",Controlling Machines and Processes,"Communicating with Supervisors, Peers, or Subordinates",Coaching and Developing Others,Repairing and Maintaining Mechanical Equipment,"Identifying Objects, Actions, and Events",Selling or Influencing Others,Working with Computers,Updating and Using Relevant Knowledge,Performing General Physical Activities,"Guiding, Directing, and Motivating Subordinates",Analyzing Data or Information,"Estimating the Quantifiable Characteristics of Products, Events, or Information","Monitoring Processes, Materials, or Surroundings",Developing Objectives and Strategies,Coordinating the Work and Activities of Others,Handling and Moving Objects,Thinking Creatively,"Organizing, Planning, and Prioritizing Work",Evaluating Information to Determine Compliance with Standards,"Judging the Qualities of Objects, Services, or People",Establishing and Maintaining Interpersonal Relationships,Staffing Organizational Units,Repairing and Maintaining Electronic Equipment,Getting Information,Training and Teaching Others,"Operating Vehicles, Mechanized Devices, or Equipment",Performing for or Working Directly with the Public,Providing Consultation and Advice to Others,Communicating with People Outside the Organization,Processing Information,Developing and Building Teams,Documenting/Recording Information,Making Decisions and Solving Problems,Assisting and Caring for Others,Scheduling Work and Activities
Chief Executives,9,4,9,8,2,1,1,9,10,0,7,6,4,7,1,10,6,4,7,9,8,1,6,9,8,8,10,7,0,7,6,2,6,7,8,7,10,4,9,3,6
Chief Sustainability Officers,8,7,6,5,2,2,0,10,7,0,5,7,4,8,1,6,6,6,5,9,7,1,6,9,5,7,9,5,0,8,5,1,5,7,9,6,8,4,8,2,6
General and Operations Managers,8,3,6,6,2,1,1,7,6,1,5,5,6,5,1,7,5,4,5,5,6,2,4,6,4,6,7,6,1,5,4,1,2,5,5,5,6,4,6,3,5
Advertising and Promotions Managers,3,3,5,3,1,0,1,7,3,0,4,6,6,5,1,3,4,3,2,5,4,2,6,8,1,5,6,2,0,6,2,1,4,2,8,4,4,3,4,1,5
Marketing Managers,5,3,4,6,0,0,0,8,4,0,6,8,4,5,1,6,5,4,4,6,6,0,6,9,2,5,9,2,0,6,3,1,3,4,7,4,7,2,6,1,5
Sales Managers,7,4,5,7,1,1,0,7,8,0,4,9,5,6,1,8,6,4,2,7,7,1,7,8,3,5,8,5,0,5,6,1,6,7,7,5,8,3,6,2,6
Administrative Services Managers,7,3,8,5,3,2,2,7,6,2,5,2,5,6,3,6,4,4,5,3,6,4,4,8,5,5,7,5,2,7,4,2,3,4,5,5,5,5,6,3,7
Computer and Information Systems Managers,7,5,6,5,3,1,1,7,7,0,7,4,10,6,1,7,6,6,7,7,7,1,6,9,6,8,6,6,1,7,4,1,1,6,3,6,8,4,7,2,6
Financial Managers,4,3,6,4,1,0,1,7,7,0,4,3,5,5,1,7,5,2,3,5,6,1,3,7,6,7,6,3,0,6,4,1,4,4,4,7,5,4,6,2,5
Treasurers and Controllers,8,6,7,5,0,0,0,9,7,0,6,4,6,7,0,7,8,5,4,8,5,0,5,8,6,7,8,5,0,8,4,0,1,6,7,7,7,5,8,2,6
Investment Fund Managers,2,6,2,3,1,0,0,7,4,0,7,4,6,6,0,3,9,7,3,5,3,0,5,6,5,7,5,1,0,9,4,0,1,4,6,8,4,4,7,1,3
Industrial Production Managers,6,3,4,5,5,3,5,6,6,3,5,2,5,5,3,6,4,5,7,4,5,5,5,6,4,5,6,4,3,5,4,2,2,3,3,5,5,4,6,2,5
Quality Control Systems Managers,5,6,5,5,6,2,3,9,6,2,7,2,5,6,2,6,7,7,7,5,5,3,5,8,8,8,6,5,2,7,6,1,1,6,5,7,6,7,6,2,6
Geothermal Production Managers,9,4,7,5,6,4,2,8,6,4,7,3,5,6,2,6,5,6,7,5,8,2,5,9,6,8,6,5,3,6,5,3,1,5,5,6,8,5,6,3,9
Biofuels Production Managers,6,4,5,5,5,2,3,7,6,2,5,2,5,5,3,7,5,5,7,4,6,2,5,6,5,6,5,5,2,5,5,2,1,5,3,6,6,4,6,2,5
Biomass Power Plant Managers,7,2,4,5,6,4,5,6,7,5,6,2,6,5,3,7,5,5,7,5,6,3,5,8,5,7,5,4,5,6,4,3,1,3,3,7,8,5,6,2,7
Hydroelectric Production Managers,8,5,6,6,7,5,4,7,6,6,6,2,4,5,2,7,5,5,7,5,7,2,4,7,6,6,5,5,4,5,5,2,3,5,4,5,6,6,6,3,7
Purchasing Managers,7,4,7,7,3,2,1,8,7,0,4,2,4,6,1,7,5,4,4,6,6,1,5,8,6,4,7,5,0,6,5,1,4,6,7,5,6,5,7,2,5
"Transportation, Storage, and Distribution Managers",7,4,6,6,4,2,1,7,6,1,5,4,5,5,2,7,5,5,5,5,6,2,5,7,6,6,6,5,1,6,5,2,3,4,6,5,7,4,6,3,6
Supply Chain Managers,9,5,5,7,3,2,1,8,7,1,5,5,5,6,1,8,6,5,4,7,6,2,5,7,5,6,8,6,1,5,5,1,2,6,6,5,9,4,7,2,6
Compensation and Benefits Managers,7,5,8,6,0,0,0,8,6,0,3,3,5,7,0,6,6,2,3,6,5,0,5,7,7,4,7,3,0,7,4,0,1,6,6,6,5,5,6,2,5
Human Resources Managers,7,6,8,10,1,0,1,10,8,0,6,5,4,7,1,8,6,3,3,7,6,1,5,8,8,9,9,10,0,7,6,0,3,8,6,6,8,5,7,4,6
Training and Development Managers,7,6,6,6,2,1,1,9,9,0,6,5,5,7,1,8,5,4,5,6,7,2,6,8,6,7,9,5,0,7,9,0,3,7,5,5,8,4,6,2,7
