Title,O*NET-SOC Code,Reading Comprehension - IM,Reading Comprehension - LV,Active Listening - IM,Active Listening - LV,Writing - IM,Writing - LV,Speaking - IM,Speaking - LV,Mathematics - IM,Mathematics - LV,Science - IM,Science - LV,Critical Thinking - IM,Critical Thinking - LV,Active Learning - IM,Active Learning- LV,Learning Strategies - IM,Learning Strategies- LV,Monitoring - IM,Monitoring - LV,Social Perceptiveness - IM,Social Perceptiveness - LV,Coordination - IM,Coordination - LV,Persuasion - IM,Persuasion - LV,Negotiation - IM,Negotiation - LV,Instructing - IM,Instructing - LV,Service Orientation - IM,Service Orientation - LV,Complex Problem Solving - IM,Complex Problem Solving - LV,Operations Analysis - IM,Operations Analysis - LV,Technology Design - IM,Technology Design - LV,Equipment Selection - IM,Equipment Selection - LV,Installation - IM,Installation - LV,Programming - IM,Programming - LV,Operations Monitoring - IM,Operations Monitoring - LV,Operation and Control - IM,Operation and Control  - LV,Equipment Maintenance - IM,Equipment Maintenance - LV,Troubleshooting - IM,Troubleshooting - LV,Repairing - IM,Repairing - LV,Quality Control Analysis - IM,Quality Control Analysis - LV,Judgment and Decision Making - IM,Judgment and Decision Making - LV,Systems Analysis - IM,Systems Analysis - LV,Systems Evaluation - IM,Systems Evaluation - LV,Time Management - IM,Time Management - LV,Management of Financial Resources - IM,Management of Financial Resources - LV,Management of Material Resources - IM,Management of Material Resources - LV,Management of Personnel Resources - IM,Management of Personnel Resources - LV
Chief Executives,11-1011.00,4.12,4.62,4,4.75,4.12,4.38,4.25,4.75,3.25,3.5,1.62,0.75,4.38,4.75,3.75,4.5,3.12,3.75,4,5.25,4.12,4.25,4.25,4.88,4,4.75,4.12,4.75,3.38,3.88,3.12,3.38,4.38,4.88,3.12,3.88,1.75,0.88,1.12,0.25,1,0,1.75,1,2,1.5,1.88,1.38,1,0,1.5,0.5,1,0,1.88,1.12,4.75,5.38,4.12,5.12,4.25,5,4,4.75,4.25,5.25,4,4.75,4.25,5.25
Chief Sustainability Officers,11-1011.03,4,4.25,4,4,4.12,4.25,4,4.12,2.88,3.12,2.12,1.88,4.12,4.12,3.75,3.88,3.38,3.75,3.75,4,3.88,3.88,3.75,3.88,3.88,4,3.12,3.25,3.25,3.38,3.25,3.25,4,4.12,2.88,3.12,1.88,1.12,1.12,0.25,1,0,1.88,1.12,2,1.88,2,1,1,0,1,0,1,0,1.88,1.5,3.88,4,3.88,4,3.88,4,3.38,3.88,2.88,3.12,2.25,2.62,3.12,4
General and Operations Managers,11-1021.00,4,4,4,4.12,3.5,3.88,4,4.12,2.62,2.75,1.5,0.62,3.88,3.88,3.62,3.75,3,3.12,4,4.12,3.75,4,3.88,4,3.62,3.75,3.5,3.62,3,3.25,3.25,3.12,3.62,3.88,2.5,2.38,1.5,0.62,1,0,1,0,1.5,0.62,2.25,2.12,1.88,1.75,1,0,1.75,1,1,0,2.38,2.12,3.62,3.88,3.12,3.12,3.12,3.25,3.62,3.88,3,3.38,3.12,3.25,3.75,4
Advertising and Promotions Managers,11-2011.00,3.75,4,4.12,4.12,3.75,3.88,4,4.12,3,3.25,1.62,0.62,4,4.12,3.25,4.12,3,3.25,3.25,4.25,4,4,3.5,4.12,3.38,3.88,3.12,3.75,2.88,3,3.12,3.25,3.5,3.88,2.75,3.12,1.75,0.75,1.12,0.12,1,0,1.75,0.75,1.62,0.62,1,0,1,0,1,0,1,0,1.62,1,3.75,4,3.12,3.12,3.12,3.75,3.5,3.88,2.75,3.62,2.62,2.62,3.12,3.88
Marketing Managers,11-2021.00,3.88,4.25,3.88,4.12,3.25,3.88,3.88,4.12,2.75,3.12,1.75,1.5,3.88,4.25,3.88,4.12,3.12,3.5,3.75,4.25,3.88,4,3.5,3.75,3.75,4.38,3.62,3.88,3,3.5,3.12,3.25,3.62,3.88,3.38,3.62,1.75,0.88,1,0,1,0,1.88,1.25,1.75,1.25,1,0,1,0,1,0,1,0,1.88,1.38,3.75,4,3.25,3.75,3.5,3.75,3.5,3.75,2.88,3.75,2.62,2.75,3.38,3.88
Sales Managers,11-2022.00,3.88,4,4,4,3.62,4,4,4.12,3,3.25,1.62,0.62,3.88,4,3.75,3.88,3.25,3.75,3.75,4.75,3.88,4.12,3.88,4.12,4.12,4.38,3.88,3.88,3.62,3.62,3.88,3.88,3.75,3.88,2.62,2.88,1.75,0.88,1,0,1,0,1.62,0.88,1.75,1.75,1.75,1.25,1,0,1,0,1,0,1.75,1.38,3.75,4,3.62,3.75,3.62,3.88,3.5,3.88,3,3.62,2.88,3,3.75,4
Administrative Services Managers,11-3012.00,4,4,4,4,3.75,3.75,3.88,3.88,2.25,2.12,1,0,3.75,3.88,3.12,3.38,3,3.25,3.38,3.62,3.25,3.75,3.75,3.62,3,3.12,3.62,3.25,3,3.25,3.25,3.25,3.25,3.12,2.75,2.5,1.5,0.75,1.12,0.25,1,0,1.38,0.62,2.25,2.25,1.62,1,1,0,1.88,1.25,1,0,2.25,2.12,3.25,3.12,3.12,3.12,2.75,3.12,4,4,2.88,2.88,2.88,2.88,3.38,3.75
Computer and Information Systems Managers,11-3021.00,4,4,4,4,3.75,4,3.88,3.88,3.12,3.12,1.75,1.38,4.12,4,3.38,3.88,3.25,3.5,3.88,4.38,3.62,3.75,3.75,3.88,3.12,3.5,3,3.25,3.12,3.88,2.88,3.12,3.75,3.88,3.12,3.38,2.5,2,1.88,2,1,0,2.75,2.62,2.88,2.88,2,1.62,1.38,0.62,2.5,2.5,1.5,0.75,2.75,3,3.88,3.75,3.62,3.5,3.62,3.88,3.38,3.75,3,3.38,2.75,3.12,3.62,3.75
Financial Managers,11-3031.00,4,4.38,4,4.38,3.75,3.62,4,4.12,3.5,3.62,1.25,0.25,4,4.25,3.5,4,3,3.38,3.75,4.12,3.62,3.75,3.62,3.75,3.38,3.75,3.12,3.75,2.88,3.38,3.62,3.62,3.62,3.88,1.75,1.12,1.62,0.88,1.25,0.38,1,0,1.88,1.62,1.88,1.38,1.12,0.12,1,0,1.25,0.38,1,0,1.88,1.5,3.62,3.88,3,3.25,3,3.25,3.62,3.75,3.12,3.62,2.38,2.12,3.62,4
Treasurers and Controllers,11-3031.01,4.12,4.25,3.88,4.25,3.62,4.12,4,4.25,3.75,4.25,1.25,0.25,4.12,4.75,3.62,4.25,3,3.38,3.88,4.5,3.12,3.62,3.38,3.62,3,3.75,3.12,3.12,2.88,3.12,2.75,2.75,4.12,4.38,2.62,3.12,1.62,0.62,1,0,1,0,1.62,1,1.88,1.12,1.12,0.12,1,0,1,0,1,0,1.88,1.38,4.12,4.62,3.25,4.25,3.62,4.25,3.38,4,4,5,2.75,3,3.12,3.75
