Title,Getting Information,"Monitoring Processes, Materials, or Surroundings","Identifying Objects, Actions, and Events","Inspecting Equipment, Structures, or Materials","Estimating the Quantifiable Characteristics of Products, Events, or Information","Judging the Qualities of Objects, Services, or People",Processing Information,Evaluating Information to Determine Compliance with Standards,Analyzing Data or Information,Making Decisions and Solving Problems,Thinking Creatively,Updating and Using Relevant Knowledge,Developing Objectives and Strategies,Scheduling Work and Activities,"Organizing, Planning, and Prioritizing Work",Performing General Physical Activities,Handling and Moving Objects,Controlling Machines and Processes,"Operating Vehicles, Mechanized Devices, or Equipment",Working with Computers,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Electronic Equipment,Documenting/Recording Information,Interpreting the Meaning of Information for Others,"Communicating with Supervisors, Peers, or Subordinates",Communicating with People Outside the Organization,Establishing and Maintaining Interpersonal Relationships,Assisting and Caring for Others,Selling or Influencing Others,Resolving Conflicts and Negotiating with Others,Performing for or Working Directly with the Public,Coordinating the Work and Activities of Others,Developing and Building Teams,Training and Teaching Others,"Guiding, Directing, and Motivating Subordinates",Coaching and Developing Others,Providing Consultation and Advice to Others,Performing Administrative Activities,Staffing Organizational Units,Monitoring and Controlling Resources
Chief Executives,22.298399999999997,22.1425,21.699900000000003,5.5973,10.040799999999999,18.5174,22.210800000000003,21.7765,21.199199999999998,29.099999999999998,19.224000000000004,21.9379,24.9522,16.8903,25.775700000000004,3.7239999999999998,3.8688000000000002,3.7128,5.0196,12.6351,2.0250000000000004,0.3267,0.7105,13.68,14.027000000000001,27.645000000000003,24.888499999999997,31.392,10.261000000000001,18.7071,25.657799999999998,17.16,22.959999999999997,24.909399999999998,19.0876,28.771800000000002,27.5535,21.409,18.692999999999998,18.144,19.5225
Chief Sustainability Officers,25.6686,14.1636,17.479,5.0007,15.399,16.863,18.928800000000003,16.0379,20.298199999999998,25.8817,21.0005,24.037,25.02,17.895899999999997,26.525900000000004,3.0227,1.8719999999999999,1.56,1.887,13.363000000000001,4.22,1.0997999999999999,1.3764,11.7304,22.200000000000003,28.523299999999995,27.372800000000005,29.421,7.3158,20.8377,16.168,15.6996,20.512800000000002,20.1539,15.318599999999998,18.635399999999997,18.785400000000003,20.829,12.837,13.887599999999999,18.662799999999997
General and Operations Managers,17.9894,14.9753,15.0232,6.0522,9.528500000000001,15.907999999999998,16.8504,12.5291,17.250799999999998,21.1304,14.615000000000002,15.845999999999998,13.5936,14.9352,19.32,4.494299999999999,5.24,3.8915999999999995,3.2489999999999997,18.509,3.4344000000000006,3.4953,3.5343,13.277800000000001,10.862400000000001,21.049,15.779399999999999,22.512800000000002,9.150599999999999,13.460799999999999,18.9732,5.918200000000001,18.4338,14.7828,12.923900000000001,20.16,17.712300000000003,16.0674,12.613999999999999,16.021,17.4472
Advertising and Promotions Managers,20.174400000000002,8.5624,13.968,1.9116000000000002,7.1982,12.334200000000001,14.4612,4.7940000000000005,13.235599999999998,15.9676,19.1565,16.9722,13.338,13.560399999999998,23.1852,2.964,5.096000000000001,2.5715,1.9292000000000002,18.1634,0.6912,0.7986,0.6432,10.0955,8.729,21.887500000000003,24.909000000000002,20.932199999999998,4.74,16.4164,9.7854,12.1158,11.8809,9.205599999999999,7.754200000000001,9.714799999999999,8.5936,5.8212,11.3515,5.2899,7.7616000000000005
Marketing Managers,21.5634,11.8374,19.3344,1.044,10.913599999999999,11.8961,13.171199999999999,6.707699999999999,15.15,20.267799999999998,20.1588,17.3116,16.9719,13.464,25.491,1.8126,1.1097000000000001,0.444,1.6732,13.728000000000002,0.8127,0.3192,0.3565,7.59,10.1022,25.080000000000002,23.52,27.518399999999996,5.392399999999999,23.186099999999996,18.1792,8.6267,19.1751,17.3808,10.4876,16.2432,12.5664,13.8012,7.6405,4.905,12.243
Sales Managers,17.899199999999997,7.857000000000001,12.529000000000002,3.7914,9.922099999999999,13.068,15.256999999999998,9.5312,18.5334,21.513399999999997,21.407600000000002,18.6521,19.5502,18.363400000000002,24.5944,2.5993,1.6723999999999999,1.1856,2.9050999999999996,15.243899999999998,2.184,1.1868999999999998,1.3832,10.0786,12.887699999999999,22.4895,22.362999999999996,25.317,6.5771999999999995,27.589000000000002,21.8815,16.909000000000002,20.8565,19.500300000000003,20.3826,21.8178,22.445999999999998,21.412,10.8768,13.8355,16.4528
Administrative Services Managers,23.2386,16.4211,17.0382,8.819999999999999,10.01,13.5536,16.3618,14.3577,13.09,19.7074,14.705,19.311300000000003,9.8864,21.3271,23.9255,11.1901,13.2175,8.1176,4.9664,15.438000000000002,4.0392,6.2499,5.831,15.602500000000001,8.9925,22.644000000000002,14.975999999999999,21.7984,11.2404,5.602500000000001,17.208000000000002,9.4554,18.5574,13.0963,12.2912,18.602999999999998,15.9068,12.847800000000001,17.0066,12.225,15.947100000000002
Computer and Information Systems Managers,22.548699999999997,20.2007,22.153399999999998,9.916,14.960400000000002,18.4894,20.5274,17.0748,20.995,23.2716,18.616,20.8115,18.4737,16.8516,25.86,3.7988999999999993,3.8939999999999997,3.0492,1.7278,29.89,3.7817999999999996,1.4652,3.5422000000000002,13.809600000000001,15.13,22.89,10.016,19.733999999999998,5.5691999999999995,11.4759,16.38,2.7512000000000003,20.124,19.776,12.224,19.939799999999998,18.799999999999997,18.216,12.788999999999998,15.966800000000001,16.038400000000003
Financial Managers,20.9385,11.3515,12.8484,2.8810000000000002,5.6126,16.1076,20.709499999999995,18.568,17.2615,20.7624,10.7143,18.2196,15.012,15.251600000000002,20.5842,2.444,1.8696,2.2072,1.8618000000000001,15.19,0.6784,0.5310999999999999,0.8568000000000001,12.779399999999999,10.790999999999999,20.800800000000002,13.2042,21.1621,6.4227,7.946000000000001,12.261600000000001,12.0265,17.644000000000002,12.1688,13.4016,18.8549,19.676800000000004,14.1622,13.4064,9.126600000000002,8.330400000000001
Treasurers and Controllers,25.3232,11.430399999999999,18.9344,1.6224,11.1864,16.2132,23.283200000000004,17.7408,27.3504,27.455000000000002,16.5796,22.66,22.2709,16.296599999999998,23.1693,0.7176,1.0032,0.9248000000000002,0.33929999999999993,18.292800000000003,0.3712,0.0,0.26880000000000004,15.156,18.81,26.7228,23.8872,24.494400000000002,6.502400000000001,11.9496,17.36,3.332,15.5268,17.82,12.96,19.8528,19.4,19.232400000000002,13.86,14.8072,18.2528
Investment Fund Managers,28.313999999999997,10.276200000000001,22.6446,1.7424,17.2666,17.848,25.454,14.4768,28.215000000000003,24.650100000000002,18.0159,20.592,15.012,8.859599999999999,18.4059,0.384,0.46399999999999997,0.55,0.3078,18.2073,0.1272,0.0,0.1272,13.406999999999998,17.1953,20.797400000000003,20.9676,18.2397,2.548,12.626599999999998,8.5086,3.4946,8.3475,10.4855,12.617,8.531600000000001,12.1968,11.7968,4.4298,3.8606,5.5692
Industrial Production Managers,19.088800000000003,20.195800000000002,15.681500000000002,15.879,11.5104,13.6524,15.343900000000001,13.1769,12.2491,20.555199999999996,16.0293,17.2645,12.4608,15.1981,18.2016,9.7614,16.252100000000002,17.2074,6.5007,17.071,7.6112,9.254100000000001,7.833600000000001,12.839000000000002,10.0344,19.6092,11.1884,18.7596,6.5532,6.0756000000000006,15.3608,4.86,15.7875,13.688400000000001,12.804300000000001,17.3628,16.480800000000002,10.8611,9.5472,9.662099999999999,13.11
Quality Control Systems Managers,22.5412,21.7236,22.736,18.405,16.5132,19.671000000000003,22.0706,23.1086,23.2889,21.198999999999998,15.672299999999998,20.384000000000004,13.9587,16.6969,23.2715,6.723000000000001,8.553600000000001,9.8568,3.193,15.686399999999999,5.9487,5.2731,4.8697,23.087400000000002,18.896900000000002,26.496,16.038999999999998,20.622,5.75,6.762,16.5095,2.1294,15.984000000000002,15.481200000000001,17.816200000000002,16.8655,17.3224,19.737599999999997,11.237800000000002,14.3561,12.084
Geothermal Production Managers,20.7855,22.218,20.5869,17.4719,14.0141,19.3848,19.3826,18.7872,17.014000000000003,21.987599999999997,16.7895,19.496999999999996,13.009599999999999,25.142500000000002,25.7699,7.659,6.365600000000001,5.7358,8.3738,17.0112,11.0834,11.911299999999999,7.4214,14.88,11.491999999999999,25.124599999999997,16.9736,20.7772,11.3715,9.7416,16.9664,3.384,22.6324,19.688,15.9048,17.8718,16.9715,14.7084,13.9502,13.0284,19.7348
Biofuels Production Managers,18.650299999999998,21.396199999999997,17.253,13.92,11.2558,14.8964,18.669,14.364,16.598,21.8,16.802799999999998,16.422,10.2038,14.530899999999999,17.620199999999997,8.568,5.9147,11.6494,4.9062,14.215499999999999,6.0226999999999995,6.6316,4.7355,13.719999999999999,13.4016,21.736,10.887500000000001,17.508399999999998,7.347,7.0161,16.1928,3.3670000000000004,19.0351,16.32,15.941799999999999,20.9272,17.9584,14.3955,10.5481,13.2172,14.938500000000001
Biomass Power Plant Managers,20.235,21.179199999999998,18.491999999999997,16.576000000000004,12.3032,16.4973,22.9586,16.185000000000002,18.044999999999998,21.2762,16.245,16.8822,15.189000000000002,21.4038,25.194,8.399000000000001,11.4436,16.8824,7.796399999999999,17.4086,9.4458,16.2687,14.341999999999999,16.0128,8.002500000000001,18.2414,9.3545,18.135,6.7056000000000004,5.616,15.2456,2.1543,18.744,19.4052,14.3241,20.967,20.382,10.512,8.7532,12.005999999999998,17.0172
Hydroelectric Production Managers,18.334,20.327299999999997,18.305999999999997,20.315,12.812800000000001,15.0684,16.605600000000003,16.820400000000003,15.688000000000002,21.726,14.593500000000002,17.5565,14.9968,19.505200000000002,22.0365,7.2358,6.6926000000000005,11.989199999999999,7.3948,12.672,12.059000000000001,16.6896,10.740599999999999,19.2145,14.2848,22.863599999999998,12.8511,17.48,8.8396,5.808,20.366500000000002,8.8346,21.483999999999998,16.1968,14.8732,18.96,17.186400000000003,15.57,13.506300000000001,13.695,18.392
Purchasing Managers,21.1718,12.7592,12.9408,8.459999999999999,10.9862,11.4708,17.6985,16.44,17.496,22.6407,15.7248,20.8314,17.064000000000004,13.670399999999999,24.5944,2.6837999999999997,2.9232,2.6316,1.63,14.0277,5.7354,1.0624,0.8113,15.56,11.331299999999999,24.7791,21.7116,23.035600000000002,8.3139,6.9322,21.546,10.4807,18.953999999999997,16.44,16.892100000000003,20.7555,20.1828,17.5692,15.163900000000002,14.3424,15.673200000000001
"Transportation, Storage, and Distribution Managers",20.538699999999995,16.2009,15.034799999999999,10.397599999999999,11.422799999999999,15.084000000000001,16.5064,16.887,16.0875,21.2819,16.368199999999998,17.296,14.575399999999998,17.7712,21.639799999999997,6.0784,8.1426,4.861800000000001,7.2624,14.782499999999999,4.2642,4.4702,2.9704,12.921,11.5536,22.4025,18.7068,18.7289,8.84,11.565600000000002,19.3536,8.2446,18.642,17.6,14.945399999999998,19.8897,17.204,14.191799999999999,11.8908,13.892999999999999,16.7926
